Parameters: V_min=1, V_max=30, V_step=0.25 | R_min=0, R_max=1000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001, (Increasing V_ext)
V_ext,R_ext,spike_count,x_min,x_max,x_f,T'_f,V_f,V'_f
21.5,50,0,0.628164099037753,0.628603590149272,0.628603439233092,-1.06951878191548,14.0442133737119,40.5832387191611
21.75,50,0,0.628603439259058,0.629039316864282,0.629039164010441,-1.09918154840085,14.2253969585407,41.0093774702086
22,50,0,0.629039164036403,0.629471511869993,0.629471357142351,-1.12928470707948,14.4068250075976,41.4346460613092
22.25,50,0,0.62947135716831,0.62990025606566,0.629900099528119,-1.15982903375945,14.5884956397245,41.8590477073943
22.5,50,0,0.629900099554074,0.630325627584607,0.630325469301026,-1.19081528589669,14.770407012772,42.2825855631634
22.75,50,0,0.630325469326978,0.630747701919854,0.63074754195398,-1.22224420292954,14.9525573223395,42.7052627248611
23,50,0,0.630747541979928,0.631166552042679,0.631166390458076,-1.25411650660265,15.1349448005689,43.1270822319841
23.25,50,0,0.631166390484021,0.631582248514577,0.631582085374563,-1.28643290128083,15.3175677149907,43.5480470689194
23.5,50,0,0.631582085400504,0.631994859593068,0.631994694960652,-1.31919407425314,15.5004243674188,43.9681601665192
23.75,50,0,0.631994694986589,0.632404451331738,0.632404285269563,-1.35240069602776,15.683513092891,44.387424403614
24,50,0,0.632404285295497,0.632811087674898,0.632810920245192,-1.38605342061793,15.8668322586541,44.8058426084672
24.25,50,0,0.632810920271123,0.633214830547215,0.633214661812166,-1.420152885856,16.0503802633865,45.22341756062
24.5,50,0,0.633214661838093,0.6336157399386,0.633615569959026,-1.45469971351684,16.2341555354806,45.6401519904577
24.75,50,0,0.63361556998495,0.634013873984697,0.634013702821292,-1.48969450979738,16.4181565333214,46.0560485831768
25,50,0,0.634013702847212,0.634409289043203,0.634409116756067,-1.52513786542564,16.6023817436426,46.4711099782516
25.25,50,0,0.634409116781984,0.634802039766309,0.634801866414908,-1.56103035594362,16.7868296808959,46.8853387710819
25.5,50,0,0.634801866440821,0.635192179169454,0.635192004812596,-1.59737254194705,16.9714988864565,47.298737514151
25.75,50,0,0.635192004838505,0.635579758696679,0.635579583392477,-1.63416496931854,17.1563879278595,47.7113087181422
26,50,0,0.635579583418383,0.635964828282723,0.635964652088567,-1.67140816945441,17.3414953980657,48.1230548530151
26.25,50,0,0.63596465211447,0.636347436412077,0.63634725938461,-1.70910265948522,17.5268199147546,48.5339783490437
26.5,50,0,0.636347259410509,0.636727630175175,0.63672745237027,-1.74724894249048,17.7123601196451,48.9440815978175
26.75,50,0,0.636727452396165,0.637105455321892,0.63710527679463,-1.78584750770764,17.8981146778407,49.3533669532084
27,50,0,0.637105276820522,0.637480956312486,0.637480777117139,-1.82489883073556,18.0840822771989,49.761836732303
27.25,50,0,0.637480777143028,0.637854176366145,0.637853996556158,-1.86440337373277,18.2702616277244,50.1694932163039
