asdlfkjh
V_ext,R_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
1.60483145723841e-05,10,-0.9564363426389,-0.956436335562796,-0.956436335316047,2.88535007647048e-13,1.59364078129116e-05,-9.10895444467407e-07
1.76406796896541e-05,10,-0.956436335316047,-0.956436327537827,-0.956436327266592,3.48634460952086e-13,1.75176691754159e-05,-1.00127747100841e-06
1.93910443685143e-05,10,-0.956436327266591,-0.956436318716585,-0.956436318418435,4.21252135542436e-13,1.92558283477586e-05,-1.10062750518198e-06
2.13150858309737e-05,10,-0.956436318418435,-0.956436309020062,-0.956436308692328,5.08995474736016e-13,2.11664532322664e-05,-1.20983538426993e-06
2.34300368431669e-05,10,-0.956436308692327,-0.956436298361407,-0.956436298001153,6.15015031305031e-13,2.32666564282686e-05,-1.32987923865467e-06
2.57548400614196e-05,10,-0.956436298001153,-0.956436286645151,-0.956436286249152,7.43117592900214e-13,2.55752485018652e-05,-1.46183425266699e-06
2.83103176930237e-05,10,-0.956436286249152,-0.956436273766354,-0.956436273331064,8.9790287064122e-13,2.81129064635974e-05,-1.60688229474069e-06
3.11193579912976e-05,10,-0.956436273331063,-0.956436259609669,-0.956436259131181,1.08492865891412e-12,3.09023589630232e-05,-1.76632250313212e-06
3.42071202552833e-05,10,-0.956436259131181,-0.956436244048279,-0.956436243522317,1.31091039672546e-12,3.3968589858865e-05,-1.94158292202681e-06
3.76012601701693e-05,10,-0.956436243522316,-0.956436226942816,-0.956436226364662,1.58396229622374e-12,3.73390619880652e-05,-2.1342332922648e-06
4.13321775067103e-05,10,-0.956436226364662,-0.95643620814005,-0.956436207504535,1.91388869654338e-12,4.10439631378802e-05,-2.34599911125566e-06
4.54332883981776e-05,10,-0.956436207504534,-0.956436187471578,-0.956436186773003,2.31253610457869e-12,4.5116476424128e-05,-2.57877708803205e-06
4.9941324633498e-05,10,-0.956436186773002,-0.956436164752271,-0.956436163984371,2.79421856338417e-12,4.95930774972154e-05,-2.83465213188383e-06
5.4896662647216e-05,10,-0.95643616398437,-0.956436139778608,-0.956436138934516,3.3762316218879e-12,5.4513861237883e-05,-3.11591602675499e-06
6.03436851528933e-05,10,-0.956436138934515,-0.956436112326911,-0.956436111399068,4.07947336103987e-12,5.99229008687378e-05,-3.42508795869321e-06
6.63311786589306e-05,10,-0.956436111399068,-0.956436082151275,-0.956436081131365,4.9291947756303e-12,6.58686426979581e-05,-3.76493708024094e-06
7.29127704271804e-05,10,-0.956436081131364,-0.956436048981408,-0.956436047860295,5.95590645584719e-12,7.24043400307157e-05,-4.13850731390964e-06
8.0147408787993e-05,10,-0.956436047860294,-0.956436012520185,-0.95643601128783,7.19647412499165e-12,7.95885301346542e-05,-4.54914461694176e-06
8.80998911136571e-05,10,-0.956436011287829,-0.956435972441011,-0.956435971086368,8.69544237114855e-12,8.7485558531361e-05,-5.00052695162186e-06
9.68414441790537e-05,10,-0.956435971086367,-0.956435928384857,-0.956435926895797,1.05066341045707e-11,9.61661553097056e-05,-5.49669722963989e-06
0.0001064503621075,10,-0.956435926895796,-0.956435879957085,-0.956435878320262,1.26950831732705e-11,0.000105708068622764,-6.04209952567015e-06
0.0001170127076159,10,-0.956435878320261,-0.95643582672387,-0.956435824924626,1.53393695323985e-11,0.000116196761042296,-6.64161888461673e-06
0.0001286230828391,10,-0.956435824924625,-0.956435768208351,-0.956435766230574,1.85344408180176e-11,0.000127726175007679,-7.30062507920155e-06
0.0001413854766384,10,-0.956435766230572,-0.956435703886323,-0.956435701712288,2.23950216418841e-11,0.000140399574225025,-8.02502070996324e-06
0.0001554141959829,10,-0.956435701712287,-0.956435633181561,-0.956435630791796,2.70597330281724e-11,0.000154330468552544,-8.82129407867726e-06
0.0001708348897446,10,-0.956435630791794,-0.956435555460656,-0.956435552833746,3.26960699134799e-11,0.000169643630655893,-9.69657730899266e-06
