Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
720,200,0,0,0,1.02058471208203,1.02081678732908,1.02082212231767,-257.415072135474,665.23413032924,421.668085644667
730,200,0,0,0,1.02082212245535,1.0210399806358,1.02104500133171,-264.515276607846,674.501877416609,427.324026412242
740,200,0,0,0,1.02104500146235,1.02125105130187,1.02125580909198,-271.713716789068,683.769149754976,432.983304272998
750,200,0,0,0,1.02125580921557,1.02145191163752,1.02145644662836,-279.009965030227,693.036084984746,438.644948033389
760,200,0,0,0,1.02145644674491,1.02164407213949,1.02164841628062,-286.403687723361,702.302787687481,444.308219748883
770,200,0,0,0,1.02151951085218,1.02203700680252,1.0215184928493,-293.815962381128,711.590503161097,449.822941292981
780,200,0,0,0,1.02151048559269,1.0222727329018,1.02152048491063,-301.291531605878,720.886510639104,455.278990741816
790,200,0,0,0,1.02141108202222,1.02252347796638,1.02140815244591,-308.880937752702,730.177207579731,460.772527055365
800,200,0,0,0,1.02124919955565,1.02275942070698,1.02276128295085,-316.106023518357,739.586392778713,465.427896810866
810,200,0,0,0,0.963716465330488,1.02292415896414,1.01406279470017,-346.825511503152,742.833297809875,513.309231284544
820,200,0,0,0,0.927385723342371,1.01591604998822,0.979642536077699,-396.167718937113,743.748238059694,578.685848368008
830,200,0,0,0,0.930082278406999,1.01591163556321,0.987173349645888,-400.242033229033,751.015399383877,595.568698329461
840,200,0,0,0,0.915039060231057,1.01597471991254,1.00313213718244,-406.436206986593,761.095371699503,595.773150647764
850,200,0.0133333333358843,0.00195000000006473,0,-1.17153535575104,1.01641571361788,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
860,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
870,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
880,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
890,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
900,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
910,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
920,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
930,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
940,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
950,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
960,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
970,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
980,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
